distribution,replication_id,cell_id,solution_location,candidate_cost_cny,independent_cost_cny,grid_cost_cny,grid_points,excess_cost_cny,grid_excess_cny
EMP,78,STRESS_CAPACITY_CLEAR,interior,5259350.926166681,5259350.926166681,5259350.926166681,10001,0.0,0.0
GAUSSIAN,79,BASE_ACTUAL_NEAR,interior,5902485.023056138,5902485.023056138,5902485.040107167,10001,0.0,0.0170510290190577
EMP,79,BASE_ACTUAL_NEAR,interior,5944012.252944419,5944012.252944419,5944023.071914942,10001,0.0,10.8189705228433
GAUSSIAN,79,BASE_CAPACITY_NEAR,interior,5902485.023056138,5902485.023056138,5902485.028672049,10001,0.0,0.0056159105151891
EMP,79,BASE_CAPACITY_NEAR,interior,5944012.252944419,5944012.252944419,5944023.102805896,10001,0.0,10.849861476570368
GAUSSIAN,79,STRESS_ACTUAL_CLEAR,lower,5493845.450898824,5493845.450898824,5493845.450898824,10001,0.0,0.0
EMP,79,STRESS_ACTUAL_CLEAR,lower,5522996.367238911,5522996.367238911,5522996.367238911,10001,0.0,0.0
GAUSSIAN,79,STRESS_ACTUAL_NEAR,lower,5256211.43187834,5256211.43187834,5256211.43187834,10001,0.0,0.0
EMP,79,STRESS_ACTUAL_NEAR,lower,5325984.34755596,5325984.34755596,5325984.34755596,10001,0.0,0.0
GAUSSIAN,79,STRESS_CONTRACT_NEAR_LOW,lower,5251463.383395799,5251463.383395799,5251463.383395799,10001,0.0,0.0
EMP,79,STRESS_CONTRACT_NEAR_LOW,lower,5320771.675151936,5320771.675151936,5320771.675151936,10001,0.0,0.0
GAUSSIAN,79,STRESS_CONTRACT_CLEAR,interior,5249650.430280201,5249650.430280201,5249650.4425672535,10001,0.0,0.0122870523482561
EMP,79,STRESS_CONTRACT_CLEAR,interior,5310124.154913046,5310124.154913046,5310124.154913046,10001,0.0,0.0
GAUSSIAN,79,STRESS_CONTRACT_NEAR_HIGH,interior,5249650.430280201,5249650.430280201,5249650.431016078,10001,0.0,0.0007358770817518
EMP,79,STRESS_CONTRACT_NEAR_HIGH,interior,5310124.154913046,5310124.154913046,5310124.154913046,10001,0.0,0.0
GAUSSIAN,79,STRESS_CAPACITY_NEAR,interior,5249650.430280201,5249650.4302802,5249650.456826489,10001,9.313225746154783e-10,0.0265462882816791
EMP,79,STRESS_CAPACITY_NEAR,interior,5310124.154913046,5310124.154913046,5310124.154913046,10001,0.0,0.0
GAUSSIAN,79,STRESS_CAPACITY_CLEAR,interior,5249650.430280201,5249650.430280201,5249650.433016015,10001,0.0,0.0027358140796422
EMP,79,STRESS_CAPACITY_CLEAR,interior,5310124.154913046,5310124.154913046,5310124.154913046,10001,0.0,0.0
GAUSSIAN,80,BASE_ACTUAL_NEAR,interior,5847031.46104796,5847031.46104796,5847031.479541934,10001,9.313225746154783e-10,0.0184939736500382
EMP,80,BASE_ACTUAL_NEAR,interior,5856210.862645259,5856210.862645259,5856211.18848078,10001,0.0,0.325835520401597
GAUSSIAN,80,BASE_CAPACITY_NEAR,interior,5847031.46104796,5847031.46104796,5847031.470566944,10001,0.0,0.0095189837738871
EMP,80,BASE_CAPACITY_NEAR,interior,5856210.862645259,5856210.862645259,5856213.750151945,10001,0.0,2.887506686151028
GAUSSIAN,80,STRESS_ACTUAL_CLEAR,lower,5450359.350128519,5450359.350128519,5450359.350128519,10001,0.0,0.0
EMP,80,STRESS_ACTUAL_CLEAR,lower,5502193.450688557,5502193.450688557,5502193.450688557,10001,0.0,0.0
GAUSSIAN,80,STRESS_ACTUAL_NEAR,lower,5195436.662506642,5195436.662506642,5195436.662506642,10001,0.0,0.0
EMP,80,STRESS_ACTUAL_NEAR,lower,5234095.300953258,5234095.300953258,5234095.300953258,10001,0.0,0.0
GAUSSIAN,80,STRESS_CONTRACT_NEAR_LOW,lower,5191232.923384005,5191232.923384005,5191232.923384005,10001,0.0,0.0
EMP,80,STRESS_CONTRACT_NEAR_LOW,lower,5219008.934585154,5219008.934585154,5219008.934585154,10001,0.0,0.0
GAUSSIAN,80,STRESS_CONTRACT_CLEAR,interior,5190304.911283221,5190304.911283221,5190304.911757219,10001,0.0,0.0004739975556731
EMP,80,STRESS_CONTRACT_CLEAR,interior,5202356.75815683,5202356.758156829,5202356.758156829,10001,1.862645149230957e-09,-1.862645149230957e-09
GAUSSIAN,80,STRESS_CONTRACT_NEAR_HIGH,interior,5190304.911283221,5190304.911283221,5190304.936465867,10001,0.0,0.0251826457679271
EMP,80,STRESS_CONTRACT_NEAR_HIGH,interior,5202356.75815683,5202356.758156829,5202356.758156829,10001,1.862645149230957e-09,-1.862645149230957e-09
GAUSSIAN,80,STRESS_CAPACITY_NEAR,interior,5190304.911283221,5190304.911283221,5190304.922872547,10001,0.0,0.0115893259644508
EMP,80,STRESS_CAPACITY_NEAR,interior,5202356.75815683,5202356.758156829,5202356.758156829,10001,1.862645149230957e-09,-1.862645149230957e-09
