replication_id,training_months,xi_bias,sigma_relative_bias,q99_relative_error
139,60,-0.0263738479951357,0.0755023811263837,-0.0188466690693788
140,12,0.0370288301448737,0.1348115904871041,0.2555156616959341
140,24,-0.0224471977487469,0.0883057730911622,0.0123014432150114
140,60,0.0197787249955151,0.0221196966007811,0.0477089053976641
141,12,0.1276834373595383,-0.1278105201045063,0.4216940954660189
141,24,0.1199323058501779,-0.1067361530576956,0.3640305087999212
141,60,0.0347422982285217,0.0210620494779204,0.1379595509100561
142,12,-0.0176610085771369,0.0499302697951086,0.0049748762801416
142,24,-0.0038751413655484,0.0306241965114825,0.0244896524967323
142,60,-0.0569325770332242,0.1014751236743714,-0.0294199292896585
