replication_id,EMP,EVENT-EMP,history_upper_endpoint_kw
49,182601.72084382729,182601.72084382729,182601.72084382729
50,191303.23336351541,191303.23336351541,191303.23336351541
51,239615.92699200747,239615.92699200747,239615.92699200747
52,221511.3614450772,221511.3614450772,221511.3614450772
53,240685.22584368687,240685.22584368687,240685.22584368687
54,163890.93233124787,163890.93233124787,163890.93233124787
55,276895.86353569326,276895.86353569326,276895.86353569326
56,231561.36995567923,231561.36995567923,231561.36995567923
57,227606.65817239985,227606.65817239985,227606.65817239985
58,242738.28479193733,242738.28479193733,242738.28479193733
59,199975.05843993241,199975.05843993241,199975.05843993241
60,245762.73492819132,245762.73492819132,245762.73492819135
61,201160.17657463072,201160.17657463072,201160.17657463072
62,249665.54263326959,249665.54263326959,249665.54263326959
63,296360.44047074893,296360.44047074893,296360.44047074893
64,218195.10181800707,218195.10181800707,218195.10181800707
65,202880.98569365084,202880.98569365084,202880.98569365084
66,184709.61129290331,184709.61129290331,184709.61129290328
67,233111.43442810548,233111.43442810548,233111.43442810548
68,246827.03623554663,246827.03623554663,246827.03623554663
69,217026.83440075611,217026.83440075611,217026.83440075611
70,202638.12104738611,202638.12104738611,202638.12104738611
71,216901.30508419999,216901.30508419999,216901.30508419999
72,220898.35888557203,220898.35888557203,220898.35888557203
73,211428.97325518183,211428.97325518183,211428.97325518183
74,219156.82716542919,219156.82716542919,219156.82716542919
75,204176.001660768,204176.001660768,204176.001660768
76,224550.11905408319,224550.11905408319,224550.11905408319
77,349347.08235366165,349347.08235366165,349347.08235366165
78,212769.68689140159,212769.68689140159,212769.68689140159
79,222341.08228289767,222341.08228289767,222341.08228289767
80,209818.73942558403,209818.73942558403,209818.73942558403
81,244289.40024150829,244289.40024150829,244289.40024150829
82,228985.35879960065,228985.35879960065,228985.35879960065
83,248155.96269023209,248155.96269023209,248155.96269023212
84,260642.33466770439,260642.33466770439,260642.33466770436
85,259189.05913534644,259189.05913534644,259189.05913534644
86,276785.47202903329,276785.47202903329,276785.47202903329
87,301834.90485342243,301834.90485342243,301834.90485342243
88,390265.6686313817,390265.6686313817,390265.6686313817
89,232283.43252246728,232283.43252246728,232283.43252246728
90,183111.05779257973,183111.05779257973,183111.05779257973
91,245173.34897660799,245173.34897660799,245173.34897660799
92,235269.78983022689,235269.78983022689,235269.78983022692
93,228712.77614286929,228712.77614286929,228712.77614286932
94,243119.68514726852,243119.68514726852,243119.68514726855
95,186154.2352598313,186154.2352598313,186154.2352598313
96,196847.61244531811,196847.61244531811,196847.61244531811
97,240313.45236392532,240313.45236392532,240313.45236392535
98,213557.09347925411,213557.09347925411,213557.09347925411
99,229750.42823567329,229750.42823567329,229750.42823567329
100,353349.71947861562,353349.71947861562,353349.71947861562
101,246780.10541688348,246780.10541688348,246780.10541688348
102,199749.12207071207,199749.12207071207,199749.12207071212
103,235585.40192532219,235585.40192532219,235585.40192532216
104,226311.88814157929,226311.88814157929,226311.88814157931
105,218087.37058477639,218087.37058477639,218087.37058477639
106,308382.26302933739,308382.26302933739,308382.26302933734
107,180007.52124391851,180007.52124391851,180007.52124391851
108,231371.7599512607,231371.7599512607,231371.7599512607
109,249664.9819100828,249664.9819100828,249664.98191008277
110,199692.07043437639,199692.07043437639,199692.07043437639
111,229159.64927133548,229159.64927133548,229159.64927133548
112,210219.15795117209,210219.15795117209,210219.15795117209
113,225014.15171374605,225014.15171374605,225014.15171374605
114,230537.42338170699,230537.42338170699,230537.42338170696
115,220132.15568053201,220132.15568053201,220132.15568053201
116,311875.9324849713,311875.9324849713,311875.9324849713
117,289614.45075020299,289614.45075020299,289614.45075020299
118,236293.84939844481,236293.84939844481,236293.84939844481
119,199507.06303833105,199507.06303833105,199507.06303833105
120,311083.97821216879,311083.97821216879,311083.97821216879
121,377879.55419215898,377879.55419215898,377879.55419215898
122,225516.96749108023,225516.96749108023,225516.96749108023
123,390077.09583394398,390077.09583394398,390077.09583394398
