replication_id,method_id,information_set,q99_relative_error,mean_relative_error,estimated_q99_kw,fit_status
559,KDE,monthly_maxima,-0.068751590846611602,0.028175966317098101,247398.25544026485,PASS
559,EMP,monthly_maxima,-0.1495163397887469,0.0281759663135,225942.0491338076,PASS
560,TAIL,event_level,-0.13194377131448329,-0.034523102421428802,230610.43056824105,PASS
560,EVENT-EMP,event_level,-0.28873418885213697,-0.0349652185962731,188957.01630487552,PASS
560,GEV,monthly_maxima,-0.26980912394970979,-0.032331005141187599,193984.70601143921,PASS_LMOM_FINITE_MEAN
560,KDE,monthly_maxima,-0.2439511951630593,-0.032331005139891601,200854.20120545692,PASS
560,EMP,monthly_maxima,-0.28873418885213697,-0.032331005139891601,188957.01630487552,PASS
561,TAIL,event_level,-0.13935341722923539,-0.014206300273298399,228641.96173143919,PASS
561,EVENT-EMP,event_level,-0.2207246831482062,-0.012346832493356601,207024.62629929525,PASS
561,GEV,monthly_maxima,-0.15098578139283581,-0.024800072365940999,225551.67285423525,PASS_LMOM_FINITE_MEAN
561,KDE,monthly_maxima,-0.1844550322219054,-0.024800072365939299,216660.1309362929,PASS
561,EMP,monthly_maxima,-0.2207246831482062,-0.024800072365939299,207024.62629929525,PASS
562,TAIL,event_level,-0.046953164670074599,-0.028043051560810401,253189.29095174721,PASS
562,EVENT-EMP,event_level,-0.096066742312544404,-0.0201579747467651,240141.6300830179,PASS
562,GEV,monthly_maxima,0.0084023809433942994,-0.0049478765242375999,267895.21182002162,PASS_LMOM_FINITE_MEAN
562,KDE,monthly_maxima,-0.048970375330109901,-0.0049478750247185996,252653.3926959832,PASS
562,EMP,monthly_maxima,-0.096066742312544404,-0.0049478750395347999,240141.6300830179,PASS
563,TAIL,event_level,-0.2409088139952979,-0.080436184906452907,201662.44934407421,PASS
563,EVENT-EMP,event_level,-0.33521276065488398,-0.0716992220780725,176609.37901891401,PASS
563,GEV,monthly_maxima,-0.21399215528921631,-0.074478038261078294,208813.20991527289,PASS_LMOM_FINITE_MEAN
563,KDE,monthly_maxima,-0.28316752904325809,-0.074478038261078905,190435.87190538933,PASS
563,EMP,monthly_maxima,-0.33521276065488398,-0.074478038261078905,176609.37901891401,PASS
564,TAIL,event_level,-0.26449782972734259,-0.055509205299814998,195395.72042158799,PASS
564,EVENT-EMP,event_level,-0.28668988548047131,-0.051083409866389103,189500.11209196044,PASS
564,GEV,monthly_maxima,-0.29487915332017811,-0.029397856849769501,187324.52654790736,PASS_LMOM_FINITE_MEAN
564,KDE,monthly_maxima,-0.26101686621498771,-0.0293978568488657,196320.48366600601,PASS
564,EMP,monthly_maxima,-0.28668988548047131,-0.0293978568488657,189500.11209196044,PASS
565,TAIL,event_level,-0.090002544917700003,-0.027113155171758399,241752.6630162111,PASS
565,EVENT-EMP,event_level,-0.086314903693207698,-0.024186801006180501,242732.33288373699,PASS
565,GEV,monthly_maxima,-0.052496612235502303,-0.023563678204960099,251716.60198569761,PASS_LMOM_FINITE_MEAN
565,KDE,monthly_maxima,-0.042615098736211797,-0.023563669941684299,254341.75460534755,PASS
565,EMP,monthly_maxima,-0.086314903693207698,-0.0235636699504705,242732.33288373699,PASS
566,TAIL,event_level,-0.1883501693939709,-0.073812707732371002,215625.33707077039,PASS
566,EVENT-EMP,event_level,-0.2591792534826684,-0.072466756284612396,196808.66939570184,PASS
566,GEV,monthly_maxima,-0.16311478369028609,-0.061946124742988197,222329.44559550827,PASS_LMOM_FINITE_MEAN
566,KDE,monthly_maxima,-0.2075019546475044,-0.061946124742922999,210537.41615330192,PASS
566,EMP,monthly_maxima,-0.2591792534826684,-0.0619461247429232,196808.66939570184,PASS
567,TAIL,event_level,0.0057819491814396001,-0.0005073876932664,267199.06003062183,PASS
567,EVENT-EMP,event_level,-0.16569771930312369,-0.0043410929089307002,221643.2551459466,PASS
567,GEV,monthly_maxima,-0.026452501146273601,0.0054215307383342001,258635.55893062841,PASS_LMOM_FINITE_MEAN
567,KDE,monthly_maxima,-0.11253063642387549,0.0054215307751694997,235767.78241695903,PASS
567,EMP,monthly_maxima,-0.16569771930312369,0.0054215307740154003,221643.2551459466,PASS
568,TAIL,event_level,-0.0498240266661392,-0.0272979079787267,252426.60911255685,PASS
568,EVENT-EMP,event_level,0.018870968605085501,-0.018825438940867498,270676.32832875254,PASS
568,GEV,monthly_maxima,0.15272069949856151,-0.0224140582950852,306235.25072658993,PASS_LMOM_FINITE_MEAN
568,KDE,monthly_maxima,0.071589308836463805,-0.022312302743488201,284681.64127721317,PASS
568,EMP,monthly_maxima,0.018870968605085501,-0.022312303941879798,270676.32832875254,PASS
569,TAIL,event_level,0.2955715741727456,0.042791438428684499,344185.44407471939,PASS
569,EVENT-EMP,event_level,0.1115175522294162,0.015485988333219101,295289.09860129183,PASS
569,GEV,monthly_maxima,0.117605021964271,0.019240065408210098,296906.31413438212,PASS_LMOM_FINITE_MEAN
569,KDE,monthly_maxima,0.1712172236432033,0.0192403617466862,311149.09300552949,PASS
569,EMP,monthly_maxima,0.1115175522294162,0.019240112938638199,295289.09860129183,PASS
570,TAIL,event_level,0.25983604057379761,0.060971744655191701,334691.83465460333,PASS
570,EVENT-EMP,event_level,0.77697422123558502,0.089520652562501093,472076.32031894935,PASS
