comparison_type,one_to_one_matching,mode_left,mode_right,pair_rank_within_mode_pair,method_id,cell_left,cell_right,relative_margin_gap,left_action_accuracy,left_absolute_regret_mean_cny,left_absolute_regret_p95_cny,left_regret_over_oracle_mean,left_regret_over_capacity_mean,left_d_mv_mean,right_action_accuracy,right_absolute_regret_mean_cny,right_absolute_regret_p95_cny,right_regret_over_oracle_mean,right_regret_over_capacity_mean,right_d_mv_mean
nearest_gap_descriptive,False,actual_maximum_demand,contracted_maximum_demand,9,EVENT-EMP,A105_U620,A120_U480,0.2617124506652086,0.642,15406.91506254816,43036.075593709946,0.0028870967741935274,0.002863999999999964,13.904728121457087,0.703,23176.318636702992,58291.75316919014,0.004390966492495024,0.003335426126358316,9.594112237942051
nearest_gap_descriptive,False,actual_maximum_demand,contracted_maximum_demand,9,GEV,A105_U620,A120_U480,0.2617124506652086,0.605,16999.24985951543,43036.075593709946,0.003185483870967719,0.00315999999999996,14.319536517366604,0.649,24547.01942293378,58291.75316919014,0.004650658349425423,0.0035326908984508916,9.889276268797127
nearest_gap_descriptive,False,actual_maximum_demand,contracted_maximum_demand,9,KDE,A105_U620,A120_U480,0.2617124506652086,0.604,17042.28593510914,43036.075593709946,0.0031935483870967514,0.0031679999999999603,16.913323246233286,0.412,36877.66388555097,58291.75316919014,0.006986812227655143,0.005307258910745866,11.767305371725184
nearest_gap_descriptive,False,actual_maximum_demand,contracted_maximum_demand,9,TAIL,A105_U620,A120_U480,0.2617124506652086,0.643,15363.87898695445,43036.075593709946,0.0028790322580644957,0.0028559999999999645,13.352098988737351,0.714,17492.700505842018,58291.75316919014,0.0033141528207488373,0.0025174666953080432,9.050561387548736
nearest_gap_descriptive,False,actual_maximum_demand,contracted_maximum_demand,10,EMP,A110_U620,A120_U480,0.2617124506652086,0.585,23791.68547263433,43036.075593709946,0.0044583161588033805,0.004422649629532936,14.307424784329871,0.692,22876.31237651552,58291.75316919014,0.004334127550268207,0.003292250644782237,10.000110164220564
nearest_gap_descriptive,False,actual_maximum_demand,contracted_maximum_demand,10,EVENT-EMP,A110_U620,A120_U480,0.2617124506652086,0.632,18953.048923594753,43036.075593709946,0.003551605638526348,0.003523192793418121,13.740297852005027,0.703,23176.318636702992,58291.75316919014,0.004390966492495024,0.003335426126358316,9.594112237942051
nearest_gap_descriptive,False,actual_maximum_demand,contracted_maximum_demand,10,GEV,A110_U620,A120_U480,0.2617124506652086,0.594,20937.48373855062,43036.075593709946,0.003923468229421222,0.003892080483585835,14.13571592926343,0.649,24547.01942293378,58291.75316919014,0.004650658349425423,0.0035326908984508916,9.889276268797127
nearest_gap_descriptive,False,actual_maximum_demand,contracted_maximum_demand,10,KDE,A110_U620,A120_U480,0.2617124506652086,0.601,18081.849138688325,43036.075593709946,0.003388351795789483,0.00336124498142315,16.648352916290087,0.412,36877.66388555097,58291.75316919014,0.006986812227655143,0.005307258910745866,11.767305371725184
nearest_gap_descriptive,False,actual_maximum_demand,contracted_maximum_demand,10,TAIL,A110_U620,A120_U480,0.2617124506652086,0.639,16772.358357533325,43036.075593709946,0.0031429667466241974,0.0031178230126511887,13.146275397107301,0.714,17492.700505842018,58291.75316919014,0.0033141528207488373,0.0025174666953080432,9.050561387548736
nearest_gap_descriptive,False,capacity,contracted_maximum_demand,1,EMP,A120_U640,A120_U500,0.065832084549287,0.493,45644.76460424203,131683.18354031414,0.008758638089678505,0.008758638089678505,9.314013904870198,0.715,25179.610711582485,60408.2708125161,0.004772422292170635,0.0037747192122877544,9.893890892005299
nearest_gap_descriptive,False,capacity,contracted_maximum_demand,1,EVENT-EMP,A120_U640,A120_U500,0.065832084549287,0.492,40289.401104136494,104057.99850243551,0.0077310133195041125,0.0077310133195041125,8.944562115730353,0.723,25184.72045842763,60408.2708125161,0.004773390769008125,0.003775485223319749,9.513386566346094
nearest_gap_descriptive,False,capacity,contracted_maximum_demand,1,GEV,A120_U640,A120_U500,0.065832084549287,0.51,40365.13177446016,116630.99342801941,0.007745545052538665,0.007745545052538665,9.186307361846874,0.676,26303.243635993033,60408.2708125161,0.004985390271624229,0.003943164977232828,9.775682866575215
nearest_gap_descriptive,False,capacity,contracted_maximum_demand,1,KDE,A120_U640,A120_U500,0.065832084549287,0.599,33619.51988397662,125073.59469421952,0.006451149654633896,0.006451149654633896,10.741358110419,0.417,39127.39051525876,60408.2708125161,0.007416017382810107,0.0058656551285240855,11.480909147703155
