alpha,utilization,cell_id,oracle_mode,method_id,action_accuracy,mean_regret_cny,mean_regret_over_oracle,mean_regret_over_capacity,mean_d_mv,oracle_margin_cny
1.1,0.52,A110_U520,actual_maximum_demand,EMP,0.981,6749.39953752519,0.001264767771706629,0.001052286786059915,1.8392510650632445,334775.0757173365
1.1,0.52,A110_U520,actual_maximum_demand,EVENT-EMP,0.99,3546.1338610465928,0.0006645088643328198,0.000552871375124906,1.7663456449734634,334775.0757173365
1.1,0.52,A110_U520,actual_maximum_demand,GEV,0.989,3938.2338790351937,0.0007379843584535029,0.0006140029862333142,1.817177512392352,334775.0757173365
1.1,0.52,A110_U520,actual_maximum_demand,KDE,0.997,1039.5632035791864,0.00019480340869273142,0.0001620764360323525,2.140182548181015,334775.0757173365
1.1,0.52,A110_U520,actual_maximum_demand,TAIL,0.996,1408.4793705788757,0.000263934488559702,0.000219593494481672,1.689982746037329,334775.0757173365
1.1,0.54,A110_U540,actual_maximum_demand,EMP,0.98,7589.3999759653825,0.0014221751791140362,0.0012287593547545275,1.8392510650632445,334775.0757173365
1.1,0.54,A110_U540,actual_maximum_demand,EVENT-EMP,0.989,4386.1342994867855,0.0008219162717402271,0.0007101356587835563,1.7663456449734634,334775.0757173365
1.1,0.54,A110_U540,actual_maximum_demand,GEV,0.988,4778.234317475386,0.0008953917658609101,0.0007736184857038262,1.817177512392352,334775.0757173365
1.1,0.54,A110_U540,actual_maximum_demand,KDE,0.995,2719.5640804595714,0.000509618223507546,0.0004403101451105198,2.140182548181015,334775.0757173365
1.1,0.54,A110_U540,actual_maximum_demand,TAIL,0.996,1408.4793705788757,0.000263934488559702,0.0002280393981155825,1.689982746037329,334775.0757173365
1.1,0.56,A110_U560,actual_maximum_demand,EMP,0.972,12324.108329610413,0.0023094106288494847,0.0020692319234491383,1.8392510650632445,334775.0757173365
1.1,0.56,A110_U560,actual_maximum_demand,EVENT-EMP,0.984,7262.606389103408,0.00136093743576139,0.001219399942442206,1.7663456449734634,334775.0757173365
1.1,0.56,A110_U560,actual_maximum_demand,GEV,0.981,8893.530583110947,0.00166655578702493,0.0014932339851743378,1.817177512392352,334775.0757173365
1.1,0.56,A110_U560,actual_maximum_demand,KDE,0.988,6614.27199566441,0.001239446265835587,0.0011105438541886862,2.140182548181015,334775.0757173365
1.1,0.56,A110_U560,actual_maximum_demand,TAIL,0.992,3886.1277226167526,0.0007282202028454155,0.0006524853017494926,1.689982746037329,334775.0757173365
1.1,0.58,A110_U580,actual_maximum_demand,EMP,0.925,29935.45626428823,0.005609595357913535,0.005205704492143763,1.8392510650632445,334775.0757173365
1.1,0.58,A110_U580,actual_maximum_demand,EVENT-EMP,0.953,18865.492769800745,0.00353519851950524,0.003280664226100864,1.7663456449734634,334775.0757173365
1.1,0.58,A110_U580,actual_maximum_demand,GEV,0.936,25882.180424007358,0.004850053323970753,0.004500849484644861,1.817177512392352,334775.0757173365
1.1,0.58,A110_U580,actual_maximum_demand,KDE,0.94,24639.656657605854,0.00461721720179619,0.004284777563266866,2.140182548181015,334775.0757173365
1.1,0.58,A110_U580,actual_maximum_demand,TAIL,0.96,16313.8015520694,0.0030570379368355704,0.002836931205383411,1.689982746037329,334775.0757173365
1.1,0.6,A110_U600,actual_maximum_demand,EMP,0.821,42325.88869499222,0.0079314344383733,0.0076141770608383645,2.7691789905154467,222353.05723416895
1.1,0.6,A110_U600,actual_maximum_demand,EVENT-EMP,0.854,33786.14964489357,0.0063311755309994906,0.006077928509759508,2.659412487484833,222353.05723416895
1.1,0.6,A110_U600,actual_maximum_demand,GEV,0.829,39514.723036502226,0.007404651025120175,0.007108464984115363,2.735945018567104,222353.05723416895
1.1,0.6,A110_U600,actual_maximum_demand,KDE,0.837,36616.05236104622,0.0068614700753594025,0.006587011272345023,3.2222618547658093,222353.05723416895
1.1,0.6,A110_U600,actual_maximum_demand,TAIL,0.854,32982.61349783087,0.006180601155226373,0.0059333771090173135,2.5444403994401124,222353.05723416895
1.1,0.62,A110_U620,actual_maximum_demand,EMP,0.585,23791.68547263433,0.0044583161588033805,0.004422649629532936,14.307424784329871,43036.075593709946
1.1,0.62,A110_U620,actual_maximum_demand,EVENT-EMP,0.632,18953.048923594753,0.003551605638526348,0.003523192793418121,13.740297852005027,43036.075593709946
1.1,0.62,A110_U620,actual_maximum_demand,GEV,0.594,20937.48373855062,0.003923468229421222,0.003892080483585835,14.13571592926343,43036.075593709946
1.1,0.62,A110_U620,actual_maximum_demand,KDE,0.601,18081.849138688325,0.003388351795789483,0.00336124498142315,16.648352916290087,43036.075593709946
1.1,0.62,A110_U620,actual_maximum_demand,TAIL,0.639,16772.358357533325,0.0031429667466241974,0.0031178230126511887,13.146275397107301,43036.075593709946
1.1,0.64,A110_U640,capacity,EMP,0.682,46522.802650287,0.008927122198227557,0.008927122198227557,4.922984872027482,125073.59469421952
1.1,0.64,A110_U640,capacity,EVENT-EMP,0.674,44320.12573136215,0.008504457077076776,0.008504457077076776,4.727844422195278,125073.59469421952
1.1,0.64,A110_U640,capacity,GEV,0.682,43711.636991797,0.008387695983056356,0.008387695983056356,4.8639022552304265,125073.59469421952
1.1,0.64,A110_U640,capacity,KDE,0.682,40812.96631634099,0.007831478690501326,0.007831478690501326,5.728465519583686,125073.59469421952
1.1,0.64,A110_U640,capacity,TAIL,0.682,41181.88248334068,0.007902268916285104,0.007902268916285104,4.523449599004662,125073.59469421952
1.1,0.66,A110_U660,capacity,EMP,0.903,31845.29230357261,0.006301657727519091,0.006301657727519091,2.1757834925478527,282994.8001162149
1.1,0.66,A110_U660,capacity,EVENT-EMP,0.9,31504.79955276685,0.006234279832104433,0.006234279832104433,2.0895383830237986,282994.8001162149
1.1,0.66,A110_U660,capacity,GEV,0.904,29755.351613922154,0.005888092960348941,0.005888092960348941,2.1496710860170114,282994.8001162149
1.1,0.66,A110_U660,capacity,KDE,0.905,27584.277333920956,0.0054584731947909205,0.0054584731947909205,2.5317771716017092,282994.8001162149
1.1,0.66,A110_U660,capacity,TAIL,0.906,28009.99058150308,0.005542714819919046,0.005542714819919046,1.9992031709886608,282994.8001162149
1.1,0.68,A110_U680,capacity,EMP,0.983,10017.641180150174,0.0020423963244868234,0.0020423963244868234,1.426546752689778,431626.5228663273
1.1,0.68,A110_U680,capacity,EVENT-EMP,0.983,8810.722233495477,0.0017963297329337696,0.0017963297329337696,1.3700003723406737,431626.5228663273
1.1,0.68,A110_U680,capacity,GEV,0.985,7675.127656619115,0.0015648047513327934,0.0015648047513327934,1.4094262216860862,431626.5228663273
1.1,0.68,A110_U680,capacity,KDE,0.986,6042.771320128582,0.0012319999999999987,0.0012319999999999987,1.659953076697541,431626.5228663273
